instance,z3,cvc5
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_0.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_100.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1000.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10000.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10001.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10002.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10004.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10005.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10006.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10007.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10008.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10010.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10012.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10013.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10014.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10015.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10016.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10017.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10019.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1002.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10021.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10022.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10023.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10025.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10026.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10028.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10029.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10030.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10032.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10033.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10035.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10036.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1004.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10044.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10046.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10048.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10050.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10051.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10053.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10054.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10055.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10056.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10057.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10058.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1006.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10060.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10062.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10063.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10064.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10066.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10067.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10068.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10072.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10076.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1008.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10084.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10085.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10086.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10087.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10088.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10090.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10091.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10092.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10094.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10095.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10096.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10098.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_101.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1010.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10100.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10102.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10103.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10105.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10107.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10109.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1011.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10110.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10111.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10114.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10115.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10116.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10118.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10119.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10120.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10121.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10122.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10124.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10125.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10126.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10127.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10128.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1013.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10130.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10131.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10133.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10134.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10135.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10136.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10137.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10138.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10141.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10142.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10143.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10144.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10145.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10146.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10147.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10149.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1015.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10150.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10155.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10158.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1016.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10161.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10171.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1018.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10186.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10188.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10190.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10194.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10196.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_102.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1020.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10200.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10202.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10204.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10207.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10209.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10211.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10213.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10215.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10218.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1022.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10221.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10223.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10225.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10226.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10228.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10229.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10230.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10232.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10233.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10235.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10236.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10238.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1024.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10240.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10241.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10242.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10243.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10248.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10249.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1025.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10252.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10253.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10255.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10257.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10258.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1026.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10266.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1027.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10273.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10275.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10277.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10279.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1028.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10282.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10285.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10287.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10289.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1029.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10291.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10293.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10295.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10297.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10298.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10299.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10302.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10303.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10305.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10306.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10307.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10308.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10309.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1031.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10310.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10311.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10312.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10313.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10314.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10315.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10316.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10317.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10319.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10320.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10322.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10323.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10324.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10326.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10327.smt2,True,True
