instance,z3,cvc5
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_6360.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_550.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_12386.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_16173.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1447.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_8506.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_14058.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10403.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_11072.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_7397.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_8732.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_8246.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10955.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_9946.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_7757.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_11969.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_15621.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_17158.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_14316.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_15863.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_5230.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10807.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_2697.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_2164.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_16275.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_5960.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10103.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_16531.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_4706.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_2312.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_3272.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_15276.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_7272.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_3095.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1633.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10200.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10594.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_7451.smt2,True,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_12246.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_7605.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_6559.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_13872.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10635.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_4888.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_7340.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_9733.smt2,True,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_11074.smt2,False,True
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_5760.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_14575.smt2,False,False
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_17723.smt2,True,False
